#Iteration cv_0 cv_1
0 -2.5524213 2.6709964
100 -2.3426101 2.5595808
200 -2.7116241 2.8022456
300 -2.5197393 2.731232
400 -2.7173866 2.7064759
500 -2.3262678 2.6475556
600 -2.6037661 2.7639126
700 -2.7950457 2.4437936
800 -2.5283655 2.7151247
900 -2.3286274 2.5026528
1000 -2.5966002 2.5148949
1100 -2.6807466 2.5134642
1200 -2.7738235 2.5438848
1300 -2.3449553 2.3118643
1400 -2.6698869 2.5360132
1500 -2.8056196 2.7616692
1600 -2.5743194 2.7694167
1700 -3.0484344 2.2671176
1800 -2.7862327 2.7626985
1900 -2.6169059 2.5150719
2000 -2.724733 2.8570258
2100 -2.1355892 2.5835487
2200 -2.9974711 2.7993471
2300 -2.6768452 2.8777389
2400 -2.4213468 2.5684237
2500 -2.5916017 2.7821044
2600 -2.6588889 2.796859
2700 -2.4046213 2.7566651
2800 -2.8007684 2.5564087
2900 -2.352726 2.759267
3000 -1.7883419 2.6059491
3100 -2.5898901 2.7403333
3200 -2.5843075 3.0827443
3300 -2.4487972 2.3832422
3400 -2.996682 2.499062
3500 -2.5795565 1.7081533
3600 -2.2130022 1.6336606
3700 -2.2876594 1.7658161
3800 -2.6247986 1.9330228
3900 -2.769627 1.8588114
4000 -2.7026074 2.3782473
4100 -2.8410751 2.5187888
4200 -2.5768394 2.5878811
4300 -2.6858023 2.604138
4400 -3.0394139 2.9523852
4500 -2.9656909 2.4924859
4600 -2.4870354 2.4062242
4700 -2.4380764 2.7780537
4800 -2.6231345 2.67642
4900 -2.7708032 1.991622
5000 -2.4417981 2.6717569
5100 -2.4989384 2.4755457
5200 -2.2245793 2.6261719
5300 -2.8647528 2.4510601
5400 -2.5417004 2.8700972
5500 -2.704965 3.0726998
5600 -2.4174986 2.4113192
5700 -2.5505358 2.6309639
5800 -2.3034965 2.5192219
5900 -2.5868164 2.870356
6000 -2.7578547 2.6228004
6100 -2.5385462 2.3081538
6200 -2.5703611 2.2565161
6300 -2.7495333 2.5051908
6400 -2.6915319 2.8505201
6500 -2.5071174 2.2212859
6600 -2.7572207 2.6069004
6700 -2.6714678 2.3582021
6800 -2.7997653 2.345279
6900 -2.550732 2.530686
7000 -2.7922758 2.3284339
7100 -2.6483488 2.2684685
7200 -2.310484 2.5010487
7300 -2.7568667 2.6654497
7400 -2.418594 2.1551111
7500 -1.6916213 1.6812624
7600 -1.6285395 2.1298368
7700 -1.0033638 2.2350993
7800 -1.117527 2.2177065
7900 -1.9117735 2.4167258
8000 -2.7163422 2.6648754
8100 -1.9857786 2.6612849
8200 -1.3411719 2.7202476
8300 -1.0090764 2.5737608
8400 -1.0759267 2.2386608
8500 -1.3690648 2.4547431
8600 -1.4474552 2.6103164
8700 -1.6573852 2.6989252
8800 -1.407029 2.4535315
8900 -1.2546218 2.535626
9000 -1.6552485 2.3784998
9100 -1.6527884 2.5006048
9200 -1.3494324 2.5930444
9300 -1.0096645 2.6320897
9400 -1.4604914 2.5743395
9500 -1.0356379 2.3056686
9600 -1.6541982 2.2582866
9700 -1.3647362 2.687676
9800 -1.3088337 2.833159
9900 -1.913525 2.3419917
10000 -1.4015008 2.7533194
10100 -1.6324431 2.8574525
10200 -1.8645417 3.1412212
10300 -2.0593524 -3.118483
10400 -1.0385464 2.8564488
10500 -0.99516839 2.8424831
10600 -1.1825684 3.0583518
10700 -1.6033074 2.9808052
10800 -1.0617305 2.9100588
10900 -0.68941561 2.8021938
11000 -0.78331137 2.5169259
11100 -1.1515843 2.9307299
11200 -0.64289832 2.526867
11300 -0.73375474 2.661242
11400 -0.81343506 2.3520832
11500 -0.75717152 2.0235977
11600 -0.74337636 2.0514475
11700 -0.81831015 2.2292755
11800 -0.61213869 2.2367104
11900 -0.58636198 2.1851662
12000 -0.6168946 1.9659136
12100 -0.54538883 2.1757874
12200 -0.68746676 2.6817893
12300 -0.77807424 2.7213666
12400 -0.62535041 2.5506552
12500 -0.67132865 2.6056555
12600 -1.5072633 3.0339941
12700 -1.5544313 -3.1238861
12800 -0.70287515 2.5745133
12900 -1.3853925 2.5604262
13000 -1.3879226 2.5956689
13100 -1.5627623 3.0153413
13200 -1.3787278 3.0299685
13300 -1.5176438 2.7456421
13400 -1.4733377 2.2658726
13500 -2.0302663 2.425156
13600 -2.972047 2.8908559
13700 -2.2990624 2.6683153
13800 -1.9775987 2.9651182
13900 -1.6546007 2.8858636
14000 -1.6017492 2.9171151
14100 -2.1032507 -3.1382131
14200 -1.6191866 2.8779124
14300 -1.5357017 -3.0989945
14400 -1.6907643 2.8522617
14500 -1.9343325 3.0458771
14600 -1.8133419 3.030286
14700 -2.4992481 -2.9478924
14800 -2.0907626 -3.0155422
14900 -1.6090712 3.121727
15000 -2.1263256 -3.117308
15100 -2.2736156 -2.9364876
15200 -1.8043687 -2.9689497
15300 -1.2948663 3.0054533
15400 -1.3328227 3.0316443
15500 -1.0622673 2.774213
15600 -0.90129153 2.8857846
15700 -1.5299495 -3.0608152
15800 -1.3478198 3.0580301
15900 -0.97104309 2.8760762
16000 -0.87715087 2.7842062
16100 -0.80091219 2.7638624
16200 -0.99136105 2.6113246
16300 -1.1066238 2.593898
16400 -1.0230089 2.5286934
16500 -0.80571318 2.9097853
16600 -0.98001301 2.9001365
16700 -1.0095525 2.8801384
16800 -1.1633228 3.0006636
16900 -1.5967336 2.8331682
17000 -1.4730156 2.9030594
17100 -1.8185667 2.878506
17200 -1.7529441 2.8944263
17300 -2.0652848 -3.127382
17400 -1.672314 3.0629071
17500 -1.5219893 -3.0186404
17600 -1.7867979 2.8135649
17700 -1.6237342 2.8234224
17800 -1.494153 2.7306808
17900 -1.5943646 2.908445
18000 -2.1003135 2.6916272
18100 -1.7798606 2.5117601
18200 -1.1415714 2.5164303
18300 -0.77214832 2.0253908
18400 -0.6830166 1.9276915
18500 -1.4600759 1.928551
18600 -1.9277735 2.259564
18700 -1.7723738 2.1161161
18800 -1.9072745 2.0673267
18900 -1.5093581 2.2721304
19000 -2.0735323 2.1384687
19100 -1.5286789 2.3227222
19200 -1.3945533 2.5325903
19300 -1.4871507 2.7812422
19400 -1.604331 2.3533095
19500 -1.4529699 1.8391412
19600 -1.4240385 1.891336
19700 -1.3289112 1.8868493
19800 -1.3898721 1.9353433
19900 -1.3232244 1.9690928
20000 -0.98436615 1.8209435
20100 -1.295515 1.8318155
20200 -1.0778253 2.1289229
20300 -1.2190063 1.9441952
20400 -0.96419186 1.9770818
20500 -0.50226781 1.8140769
20600 -1.4995402 1.997519
20700 -1.3459476 1.5334411
20800 -1.2368004 1.6318834
20900 -1.824234 1.3723099
21000 -1.7170705 1.5025272
21100 -2.0862028 1.5543509
21200 -1.8932678 1.5321829
21300 -2.0035061 1.7178641
21400 -1.9342328 1.9252917
21500 -2.1742879 2.2202535
21600 -2.3605239 2.0611159
21700 -2.1310754 1.9503127
21800 -2.0037419 1.6837347
21900 -2.0048496 1.577464
22000 -1.7656245 1.5282197
22100 -2.2918079 1.1575836
22200 -2.7466236 1.3043993
22300 -2.2670048 1.0976507
22400 -2.2455273 1.2167221
22500 -2.0330982 1.2096181
22600 -2.1501722 1.2370191
22700 -2.2001903 1.1992908
22800 -2.7684076 1.3608549
22900 -2.8106032 1.2295007
23000 -2.7974355 0.95699567
23100 -1.7881501 0.7713994
23200 -2.2630565 0.73212992
23300 -2.669111 1.0123279
23400 -2.6851835 1.3430065
23500 -2.7662538 1.4935317
23600 -2.2685472 1.0957155
23700 -2.1703322 1.3132338
23800 -2.5587395 0.99572202
23900 -1.8998546 1.510066
24000 -1.973414 1.511532
24100 -2.0016143 1.4130387
24200 -2.3264601 1.8682705
24300 -2.0784152 1.906184
24400 -2.4647099 1.0819357
24500 -2.3625296 0.85405342
24600 -2.6622607 0.992863
24700 -2.4702062 0.76354822
24800 -1.846274 1.3405416
24900 -2.0937781 1.0733729
25000 -2.023416 1.1309662
25100 -2.1790758 1.0183434
25200 -2.0208385 1.0682071
25300 -2.3200675 0.85744293
25400 -2.5503549 0.93714592
25500 -2.2602247 1.1052601
25600 -2.5483987 0.87016768
25700 -2.2593723 0.57546622
25800 -2.3465356 0.99107138
25900 -2.0472255 0.69124495
26000 -2.7607023 0.90663806
26100 -2.6673537 1.0943326
26200 -2.1110398 0.60387171
26300 -2.8257089 1.0364541
26400 -2.4145387 0.95402803
26500 -2.2422186 0.74680979
26600 -2.36436 0.47783898
26700 -2.2140121 0.48685952
26800 -2.1874992 0.7782187
26900 -2.2221219 0.63596484
27000 -2.3586643 0.65246934
27100 -2.5330402 0.32606575
27200 -2.2811626 0.64863962
27300 -2.543985 0.49803362
27400 -1.9686356 0.23215962
27500 -1.9092171 0.12875928
27600 -2.0773086 0.48196208
27700 -2.3682208 0.82891001
27800 -2.4637467 1.0892907
27900 -2.0371411 0.71767009
28000 -2.0893686 1.0201218
28100 -2.4738989 0.84612615
28200 -1.8995583 0.64440638
28300 -1.9914596 0.64430823
28400 -2.7338459 0.62524495
28500 -2.1397139 0.92327085
28600 -2.1238094 0.94612578
28700 -2.251794 1.0507575
28800 -2.7694961 1.433182
28900 -2.7372584 1.4369108
29000 -2.7570705 1.4272799
29100 -2.7606982 1.7625033
29200 -2.9176593 1.725469
29300 -2.795829 1.4129967
29400 -2.8291898 1.3838097
29500 -2.8070113 1.5376591
29600 -2.8228478 1.6412116
29700 -2.7857747 1.3485146
29800 -2.7882736 1.3088253
29900 -2.8032759 1.4029585
30000 -2.8602319 1.6953879
30100 -2.4332331 1.116866
30200 -2.5310832 0.84752747
30300 -2.2490364 0.87693829
30400 -2.7365629 1.4230483
30500 -2.571958 1.4591022
30600 -2.5734168 0.68121274
30700 -2.5967018 1.3673119
30800 -2.4145676 0.98405266
30900 -2.316333 1.2983424
31000 -2.5649556 1.0484298
31100 -2.3948502 1.0076981
31200 -2.4382053 1.1296352
31300 -2.6504329 1.4624617
31400 -1.9696729 1.5612356
31500 -2.0607097 1.1610976
31600 -1.5339107 1.2470543
31700 -2.1446432 1.1705312
31800 -2.5197719 1.1159709
31900 -2.6087237 1.6081575
32000 -2.5107191 1.6237024
32100 -2.2639421 1.8493448
32200 -2.5172238 1.2573097
32300 -2.360191 1.1448587
32400 -2.6177652 1.1463852
32500 -2.4159167 1.1401899
32600 -2.9548958 0.84893128
32700 -2.7267729 0.78319837
32800 -2.8587855 1.1143934
32900 -2.2710055 1.56494
33000 -2.4467818 1.0202715
33100 -2.5544203 0.80847893
33200 -2.3712072 0.99629869
33300 -2.5670141 0.72495364
33400 -2.3507478 0.86360118
33500 -2.6456592 1.1578179
33600 -2.4510472 0.86607129
33700 -2.4256915 0.88379211
33800 -2.4507742 0.90300646
33900 -2.5700515 0.74881911
34000 -2.5720242 1.2075788
34100 -2.325513 1.350688
34200 -2.5115479 0.88026794
34300 -2.4586104 1.0850661
34400 -2.3841035 1.387876
34500 -2.4029537 1.0651227
34600 -2.3938715 1.2800086
34700 -2.1184209 1.5179589
34800 -2.2740474 1.2949364
34900 -2.3535984 1.0474206
35000 -2.3775673 1.2832923
35100 -2.4167307 1.5842208
35200 -2.4294713 1.6226802
35300 -2.632134 1.1551385
35400 -2.3478105 1.3556822
35500 -2.8338941 1.530724
35600 -2.2109462 1.3968943
35700 -1.7936409 1.1935564
35800 -2.3997713 1.2238122
35900 -2.4884872 1.3108482
36000 -2.2535325 1.3896586
36100 -1.8553347 1.3108712
36200 -1.9965467 1.5318657
36300 -2.4262595 1.3435718
36400 -1.6935225 0.9813524
36500 -2.2932914 1.4271176
36600 -2.3677986 1.1566592
36700 -2.7036375 1.1075839
36800 -2.8014873 1.2222582
36900 -2.4087629 0.94615218
37000 -2.7029427 1.1005998
37100 -2.5727391 1.4015934
37200 -2.3340906 1.7236115
37300 -2.5430768 1.7797547
37400 -2.6718734 2.3711816
37500 -2.685011 1.7192345
37600 -2.4617476 1.8247685
37700 -2.4975179 1.7322443
37800 -2.6204111 2.3197937
37900 -2.5946326 1.8884004
38000 -2.6514375 2.0696237
38100 -2.7695618 2.298692
38200 -2.7862645 2.3026692
38300 -2.8626859 2.2373819
38400 -2.8527884 2.1576242
