#Iteration cv_0 cv_1
0 -2.5524213 2.6709964
100 -2.3466679 2.5581633
200 -2.7135753 2.8024061
300 -2.5265971 2.7258447
400 -2.7384498 2.7185282
500 -2.3620365 2.7235101
600 -2.6523056 2.5736038
700 -2.4834092 2.4361118
800 -2.2688893 2.2229835
900 -2.9526841 2.5281838
1000 -2.1058939 1.9249051
1100 -2.2389421 1.4664473
1200 -2.6895453 1.4133812
1300 -1.9729701 1.067711
1400 -2.8545283 1.3219675
1500 -2.0551246 1.0960253
1600 -2.6293871 1.319594
1700 -2.256187 1.2866643
1800 -2.1191161 1.3785485
1900 -2.6108367 1.3904006
2000 -2.4770458 1.1626315
2100 -2.7511229 0.6868928
2200 -2.3653207 1.1924363
2300 3.1312011 1.1601665
2400 -2.449733 1.8772037
2500 -2.3206125 1.7923499
2600 -1.8478031 1.4117054
2700 -2.1033084 1.986757
2800 -2.3777457 2.4705857
2900 -2.5483625 2.6223675
3000 -2.5641051 2.4483978
3100 -2.3969737 2.4310946
3200 -2.4716324 2.2150451
3300 -1.9083555 2.4430985
3400 -2.4905827 2.5774303
3500 -2.8441663 2.62262
3600 -2.8742349 2.7207528
3700 -2.3856123 2.9386459
3800 -2.4720215 2.6956534
3900 -2.4944538 2.7871308
4000 -2.3402991 2.6859239
4100 -2.3740268 2.5922333
4200 -2.6250795 2.6494848
4300 -2.5167196 2.6377554
4400 -2.7259267 2.8326092
4500 -2.5334288 2.5309334
4600 -2.1319685 2.6243635
4700 -2.4194814 2.6580555
4800 -2.1677878 2.4478988
4900 -2.465146 2.8692921
5000 -2.7264633 2.466121
5100 -2.7627117 2.4141574
5200 -2.8355932 2.5428125
5300 -2.9750054 3.0366152
5400 -3.0414933 2.8076794
5500 3.0396197 3.0015346
5600 -3.0201573 2.6596221
5700 -2.1201332 2.6453961
5800 -1.7750803 2.8954298
5900 -1.5703717 2.778403
6000 -1.4965437 3.0123215
6100 -1.3422897 2.4519196
6200 -1.9680423 2.7613482
6300 -1.6189784 2.5547942
6400 -1.1784542 2.5089702
6500 -0.088518808 2.4866376
6600 -1.2278766 2.1506771
6700 -1.2041155 2.8543486
6800 -2.1130214 2.9540703
6900 -1.4112305 2.9673243
7000 -0.80639887 3.0264682
7100 -2.158397 2.6659403
7200 -2.7264468 2.3774004
7300 -0.96843935 2.6109533
7400 -1.8133355 2.9978598
7500 -1.0820998 2.0383875
7600 0.75781336 0.86236538
7700 0.81674734 0.14424483
7800 1.2310927 0.31161592
7900 1.4124801 -0.85685991
8000 0.85993351 -2.6872677
8100 1.67836 -3.1072328
8200 1.2054874 2.6353966
8300 1.2457258 -2.9299653
8400 0.42244481 -2.5365181
8500 0.52025452 -2.1042554
8600 0.96444545 -2.075005
8700 0.91376655 -1.9676378
8800 1.1680504 -2.8534648
8900 0.81503733 -3.1404966
9000 0.90986623 -2.4347012
9100 0.96022653 -2.7602609
9200 1.1125977 -2.8850166
