#Iteration center.0 center.1 sigma.0 sigma.1 height
113000 -2.3590025 2.3281948 0.3 0.3 0.3
114000 -2.4184709 3.0161144 0.3 0.3 0.3
115000 -1.7657109 2.321089 0.3 0.3 0.3
116000 -1.1145397 1.9639306 0.3 0.3 0.3
117000 -1.2222306 2.2621564 0.3 0.3 0.3
118000 -1.954006 2.6819563 0.3 0.3 0.3
119000 -2.1123058 1.8650526 0.3 0.3 0.3
120000 -1.832744 1.6486262 0.3 0.3 0.3
121000 -2.103206 2.3533736 0.3 0.3 0.3
122000 -2.9693841 2.6335876 0.3 0.3 0.3
123000 -1.1529889 1.8515062 0.3 0.3 0.3
124000 -2.3715437 2.3272574 0.3 0.3 0.3
125000 -2.4485468 2.9748634 0.3 0.3 0.3
126000 -2.7028415 2.5821378 0.3 0.3 0.3
127000 -1.7946184 1.93663 0.3 0.3 0.3
128000 -2.4092961 2.6292872 0.3 0.3 0.3
129000 -1.9359787 2.8399289 0.3 0.3 0.3
130000 -1.2776778 2.7450124 0.3 0.3 0.3
131000 -0.94847367 2.1429361 0.3 0.3 0.3
132000 -0.74721216 2.6021895 0.3 0.3 0.3
133000 -1.086402 2.1342636 0.3 0.3 0.3
134000 -1.4269509 3.0440273 0.3 0.3 0.3
135000 -1.4468683 3.0178332 0.3 0.3 0.3
136000 -0.87683815 2.0713709 0.3 0.3 0.3
137000 -2.08316 2.5641245 0.3 0.3 0.3
138000 -1.3603129 2.8108242 0.3 0.3 0.3
139000 -2.1420691 -3.0574872 0.3 0.3 0.3
140000 -1.4590011 2.3569123 0.3 0.3 0.3
141000 -0.89649906 2.9140427 0.3 0.3 0.3
142000 -2.6971076 2.8129388 0.3 0.3 0.3
143000 -2.9239806 3.03843 0.3 0.3 0.3
144000 -1.7505037 1.8374157 0.3 0.3 0.3
145000 -2.7205855 2.8663518 0.3 0.3 0.3
146000 -2.6861228 2.7043063 0.3 0.3 0.3
147000 -2.2866445 2.7879641 0.3 0.3 0.3
148000 -1.1985839 2.8257126 0.3 0.3 0.3
149000 -0.88940749 2.0472164 0.3 0.3 0.3
150000 -1.6185909 2.7530625 0.3 0.3 0.3
151000 -1.0131254 2.478598 0.3 0.3 0.3
152000 -1.0604603 2.6826404 0.3 0.3 0.3
153000 -0.45675358 2.4219018 0.3 0.3 0.3
154000 -1.240702 2.0693047 0.3 0.3 0.3
155000 -1.2824285 2.5267443 0.3 0.3 0.3
156000 -0.93369354 2.4162524 0.3 0.3 0.3
157000 -1.2560263 3.0801038 0.3 0.3 0.3
158000 -2.9240223 2.7287778 0.3 0.3 0.3
159000 -2.2976395 1.2555707 0.3 0.3 0.3
160000 -2.2645152 2.1680257 0.3 0.3 0.3
161000 -2.8275966 1.6997824 0.3 0.3 0.3
162000 -1.8965727 1.0028034 0.3 0.3 0.3
163000 -2.5172373 0.9380342 0.3 0.3 0.3
164000 -2.5347537 2.0337457 0.3 0.3 0.3
165000 -1.6500105 2.4653111 0.3 0.3 0.3
166000 -1.614518 2.5617331 0.3 0.3 0.3
167000 -1.5740167 2.9435821 0.3 0.3 0.3
168000 -1.5050605 2.2599205 0.3 0.3 0.3
169000 -2.5510873 2.5951927 0.3 0.3 0.3
170000 -0.47611017 2.4101506 0.3 0.3 0.3
171000 -0.64262354 2.4922523 0.3 0.3 0.3
172000 -1.6940896 2.6884686 0.3 0.3 0.3
173000 -1.2568429 2.3352087 0.3 0.3 0.3
174000 -2.0689702 2.3388712 0.3 0.3 0.3
175000 -1.7130767 3.0120874 0.3 0.3 0.3
176000 -2.402964 1.2966033 0.3 0.3 0.3
177000 -2.5508251 2.8635904 0.3 0.3 0.3
178000 -2.0921956 1.7258742 0.3 0.3 0.3
179000 -2.564048 2.2956832 0.3 0.3 0.3
180000 -1.3057104 1.9964478 0.3 0.3 0.3
181000 -1.8184205 2.2854144 0.3 0.3 0.3
182000 -1.3297414 2.1333158 0.3 0.3 0.3
183000 -2.6826796 2.3337127 0.3 0.3 0.3
184000 -1.3397018 2.4000357 0.3 0.3 0.3
185000 -2.1069061 2.9236963 0.3 0.3 0.3
186000 -3.0612814 2.7280073 0.3 0.3 0.3
187000 -2.465582 2.5605944 0.3 0.3 0.3
188000 -1.8585885 2.2444599 0.3 0.3 0.3
189000 -1.0056675 1.9975694 0.3 0.3 0.3
190000 -1.5355261 2.3523667 0.3 0.3 0.3
191000 -2.7835653 3.0082227 0.3 0.3 0.3
192000 -2.8808377 2.3916983 0.3 0.3 0.3
193000 -2.4973117 2.6176569 0.3 0.3 0.3
194000 -2.7548268 2.0843569 0.3 0.3 0.3
195000 -2.674634 1.9422136 0.3 0.3 0.3
