#Iteration cv_0 cv_1 cv_2 cv_3
49000 -2.5903761 2.9783815 -1.2046686 0.85555844
50000 -2.7281989 2.858952 -1.6732352 0.77634327
51000 -1.3330842 1.3789084 -1.5197485 1.7213833
52000 -1.3853268 0.35043946 -1.6214074 0.41210998
53000 -1.0569751 0.67825421 -1.7346144 0.43766849
54000 -1.0585675 0.85733843 -2.4400209 -0.11083443
55000 -1.4600054 1.1748929 -1.5734155 1.3675675
56000 -1.4110175 0.39659408 -1.4871687 -0.35783415
57000 -1.2638885 1.6679925 -2.3070146 -2.9006615
58000 -1.1949561 2.0932118 -1.1925546 1.5794132
59000 -1.7069499 2.9906488 -1.9383915 2.7647526
60000 -1.0405304 2.7448356 -2.6509171 2.7659879
61000 -1.4179479 1.058709 -2.7230521 2.5126416
62000 -1.2814519 1.155659 -2.4074 2.6752819
63000 -1.3760204 1.2876895 -2.0444295 2.6344793
64000 -1.7843847 0.54134042 -2.501293 2.5318393
65000 -1.4866187 1.4481746 -2.3684121 2.8922385
66000 -2.4585802 2.2230959 -2.2120613 2.7260381
67000 -2.2357183 -3.1167326 -1.6393797 2.2272327
68000 -1.6106259 0.90018454 -2.411201 2.4062115
69000 -1.7305741 2.7269114 -2.3298327 2.1631851
70000 -1.1423363 2.7373471 -1.3464621 2.4143498
71000 -2.204175 2.2179893 -2.1176454 2.358648
72000 -2.4356774 2.6261514 -1.8988893 0.093008053
73000 -2.7032652 -3.029084 -1.5079714 2.8903147
74000 -1.8079263 1.8399351 -2.6655558 -2.7300062
75000 -1.6299163 2.2788023 -1.5089341 1.5873259
76000 -2.2441415 -3.1005714 -1.9790424 2.7148807
77000 -1.5533909 2.3448087 -0.89906334 2.0565615
78000 -2.7645469 2.7444015 -1.1929423 0.24733411
79000 -2.4686022 -2.8357526 -2.1884947 -3.0924981
80000 -1.1356875 2.1724001 -1.2323285 0.75681638
81000 -1.5838188 2.6208622 -1.5876443 1.1372244
82000 -1.272385 1.0400152 -1.2027065 1.133093
83000 -1.5510099 1.0268293 -1.4585918 1.2193047
84000 -1.0406526 0.94004999 -1.5815199 1.2055199
85000 -1.2120168 -0.006331476 -2.1034118 0.028844571
86000 -0.99332294 -0.11194453 -2.1744642 0.040808298
87000 -1.1280058 -0.27367284 -1.0314665 -0.43891461
88000 -1.2828681 0.79884571 -2.5435069 -0.50527759
89000 -1.1276235 -0.71130394 -1.7978641 0.39917427
90000 -1.2444629 -0.051898051 -2.0450639 0.43433083
91000 -1.1562563 1.6139511 -1.074053 0.54885328
92000 -1.4240673 -0.40794099 -1.419044 0.8120644
93000 -1.4009547 1.7211771 -1.2328479 0.306177
94000 -1.4553617 2.5273944 -2.6528174 2.1171883
95000 -1.0011311 0.94809479 -1.0367123 2.6332204
96000 -0.68708475 2.0805702 -1.3388781 1.1455304
97000 -2.411618 2.1159511 -0.97380161 2.3003874
98000 -1.7225381 2.1507295 -1.3848504 2.7824074
99000 -1.493923 0.75634618 -0.97006478 -0.46216784
100000 -1.2451034 1.2844877 -1.9949586 2.2234543
101000 -1.5334061 -0.29030239 -2.7979961 2.5396771
102000 -1.1503078 1.6096189 -0.94236727 1.6371529
103000 -2.505558 2.072676 -1.1381791 -0.17704238
104000 -1.3126624 2.1895773 -0.95398732 0.040230612
105000 -1.1760199 1.0305609 -2.7781553 0.11370253
106000 -1.9772428 2.9593787 -1.3930834 2.9511498
107000 -3.1189001 2.8459349 -0.56880259 2.5986699
108000 -1.3234873 -0.6128338 -2.01851 2.7190404
109000 -1.3466247 0.46083346 -2.4671647 1.898884
110000 -2.0743025 -0.1572883 -2.4155807 2.5810441
111000 -1.7176689 0.48397708 -3.1176962 2.7689549
112000 -1.6049609 0.53272132 -1.9048135 -0.4818013
113000 -1.1839165 -0.18310446 -1.0876239 -0.64369419
114000 -1.4459096 0.75855092 -2.1930324 1.0526565
115000 -1.7372088 0.95971451 -1.0238246 -0.13606342
116000 -1.5843397 -0.28545127 -1.289625 0.62153594
117000 -1.8551211 0.75312633 -1.6655106 0.26833659
118000 -2.1986229 0.18032762 -1.6981579 1.1907641
119000 -1.0736306 0.44892299 -1.459337 0.14677377
120000 -1.3401873 2.8621401 -1.1343344 2.2466045
121000 -2.31184 0.79581206 -1.3611308 0.98764954
122000 -2.3210175 0.74080741 -2.8993298 2.374687
123000 -0.88996508 2.7243964 -1.6754842 0.86221195
124000 -1.438398 2.6229094 -1.0057996 1.8673229
125000 -1.1273304 1.3349343 -1.9900449 1.9822371
126000 -1.2383942 1.5167327 -2.0632195 1.4235299
127000 -2.1757042 0.29480392 -1.1687019 2.1361804
128000 -1.2426261 -0.24198457 -1.9009285 2.4292257
129000 -1.8263712 2.3311305 -0.89927549 1.6578601
130000 -1.114211 2.1303759 -2.1100618 0.51070423
131000 -1.6166525 2.6233009 -0.78412866 1.9082978
132000 -1.7608047 0.78111436 -2.9004997 2.1143447
133000 -1.2493593 -0.56973375 -2.6497558 -3.019889
134000 -1.3752584 0.61438994 -2.546284 2.360963
135000 -1.2105323 0.93096649 -3.0738766 -0.31981182
136000 -1.3441437 -0.097391399 -1.1039567 0.077213435
137000 -0.94232419 0.030262356 -1.185983 -0.64865938
138000 -1.3290445 0.51467186 -2.1732771 -0.5640324
139000 -3.1333956 -0.57884795 -2.793836 2.6924403
140000 -1.5538018 0.47739759 -1.5104027 -0.55494802
141000 -1.621967 1.7183982 -2.6152496 -0.80190283
142000 -2.6431095 0.21212545 -1.4908913 1.515557
143000 -0.44816873 -0.92540023 -2.4050405 0.46621472
144000 -1.3712323 0.59766656 -1.4068667 -0.66989402
145000 -1.3175377 0.49094538 -0.696643 0.76685456
146000 -1.3982732 2.2908884 -1.8104548 -2.9798423
147000 -1.0354942 2.7291171 -2.8534216 -3.1294736
148000 -2.2049441 3.0334554 -1.152503 1.5904291
149000 -2.8515564 -0.40935791 -2.252035 2.1384248
150000 -1.2171514 1.98119 -1.175444 0.026984445
151000 -2.1228728 1.4995883 -1.720946 2.6273544
152000 -0.94417913 0.40449913 -1.4752109 2.0671293
153000 -1.181212 2.3042193 -1.5289169 2.547672
154000 -2.0822412 -2.6572631 -1.556112 2.284522
155000 -2.3524179 0.47751276 -2.4739376 2.6422057
156000 -1.1581062 1.0239368 -2.208177 -0.88328349
157000 -0.76868788 -0.040311825 -2.6746952 0.52508253
158000 -0.65994465 -0.70525754 -1.8871791 0.20466639
159000 1.1301162 -1.5213669 -1.6449246 -0.20446441
160000 1.0049262 -1.4284741 -1.7266471 0.053030986
161000 1.1030774 -1.0054427 -2.7880641 0.001242596
162000 0.93214404 -0.61248798 -2.7195941 -0.2422895
163000 0.8192048 -1.4017861 -1.1909358 -0.12814913
164000 0.85909108 -0.61012651 -1.4553533 0.1465833
165000 0.81169522 -1.5931567 -1.380472 0.87652814
166000 0.85151366 -0.37264425 -0.98075969 1.3640484
167000 0.81829542 -1.1121744 -2.1551 -0.19935389
168000 1.3126495 -0.79437492 -1.3271847 2.6638195
169000 0.92578924 -0.57567224 -1.470819 2.2790635
170000 0.7882204 -0.29343255 -1.5158365 2.4154659
171000 1.1831459 -0.61035592 -1.3853164 2.5545305
172000 0.97495014 -0.23904664 -1.613433 2.8402804
173000 1.2166717 -0.77020124 -1.3923142 1.0786724
174000 1.1178612 -0.80223454 -1.6065924 2.2445221
175000 0.75909728 -0.27620963 -2.1772639 2.6506151
176000 1.2041911 -0.51987431 -1.067127 2.8900215
177000 1.0630267 -0.63047512 -2.5455722 3.05392
178000 1.0574961 -0.44147582 -2.1082661 2.7104545
179000 0.72311205 -1.4364691 -1.2399574 1.2470651
180000 0.91517315 -0.9312373 -1.2564833 2.1336115
181000 0.9211609 -0.69329799 -1.2016868 2.9128602
182000 0.89640672 -0.12724824 -2.2459491 2.5854164
183000 0.95098193 -0.31608542 -2.5077757 3.032558
184000 1.4669892 -0.48092698 -1.5736637 0.69513164
185000 0.67636058 0.050285754 -1.453295 1.4521818
186000 0.71780511 0.25741425 -1.4159711 0.87520068
187000 1.0344116 -0.12328595 -1.648178 1.1942655
188000 0.98546404 -1.6077917 -1.5957617 -0.51025406
189000 1.095156 -0.53010025 -2.8118947 2.1339774
190000 1.1815913 -0.73915675 -2.140858 2.4546136
191000 1.130219 -0.70898041 -1.0541725 0.83741547
192000 1.0319266 -0.34285606 -1.2298805 0.46797738
193000 1.0433651 -0.51744437 -2.0961116 -2.9813692
194000 1.2416418 -0.83317225 -1.6850061 1.3552104
195000 0.78151411 -0.80465849 -2.60619 -0.22723603
196000 1.0330011 -1.8911231 -1.7416978 -0.38697413
197000 0.89678867 -0.68232421 -2.4377027 0.90806956
198000 1.0247242 -1.1653578 -2.3586584 -0.20294743
199000 0.90740523 -2.2625151 -1.5230669 0.22256678
200000 0.99413944 -1.4800752 -1.8698412 0.28322444
201000 0.73062563 -1.3021375 -1.3630051 -0.80598505
202000 0.74546988 -1.7246764 -1.1889783 -0.33669502
203000 0.84993698 -1.3189089 -2.5836174 0.043985897
204000 1.0783366 -1.2871453 -2.4837779 -0.085445109
205000 0.72587461 -1.6864287 -1.2279701 -0.17773661
206000 0.93748167 -1.0727742 -2.5631391 -0.044568906
207000 0.85425413 -2.2890279 -1.7857867 0.44835585
208000 0.86374696 -0.85274962 -1.9658902 -0.50880874
209000 0.86016204 -0.72059004 -1.320647 0.50367098
210000 0.83454346 0.19271614 -1.9761008 2.9254787
211000 1.0667882 -0.31186898 -1.005325 2.2617884
212000 0.9512625 -0.20730796 -2.4746526 2.9051963
213000 1.117785 -0.99256613 -1.064857 2.5757872
214000 0.99242056 -0.45442089 -1.7722588 2.484821
215000 1.1935809 -0.64357327 -1.0109151 -0.022472598
216000 1.0338341 -0.22551667 -1.4772225 2.111345
217000 1.1751954 -0.15385414 -2.5866631 3.0565298
218000 1.2394 -0.378712 -2.2834935 -3.0853567
219000 1.0573107 -0.42572389 -1.3077625 2.8729944
220000 1.0736857 -0.76498765 -1.0210514 0.55787876
221000 1.0636748 -0.61712259 -0.93949197 1.5867818
222000 1.0976893 -0.46457399 -2.0073663 2.4959221
223000 0.83187788 -0.31359769 -2.3825296 2.9523745
224000 0.87513012 0.18301606 -1.612983 2.0419969
225000 1.1533341 -0.43987739 -1.0267715 2.6979346
226000 0.82120121 -1.4867789 -2.3158497 0.24921358
227000 1.119624 -2.301271 -1.2020352 -0.23226853
228000 0.68288767 -0.90687955 -1.4974035 -0.27283505
229000 0.9910972 -1.0928348 -2.2375629 -0.18269185
230000 1.052426 -1.2966382 -2.4226606 0.3625074
231000 0.66917011 -1.5766007 -2.0976042 0.54602911
232000 0.73732837 -1.8942603 -0.94668353 -0.36376135
233000 1.2226069 -1.8715358 -2.348367 0.2127656
234000 1.032491 -1.8794465 -1.0159264 0.32744479
235000 0.85039394 0.41212636 -2.063808 2.2379041
236000 0.86446845 -0.81641719 -1.0362199 -0.26222455
237000 0.76386076 -0.62648014 -1.4858636 1.938317
238000 1.0515262 -1.0383647 -1.2120934 1.0639106
239000 1.2025958 -0.7389395 -1.3059561 1.161526
240000 0.89690276 -0.016134918 -1.3953169 0.62926878
241000 0.90106332 0.32348314 -1.439684 0.72113376
242000 0.8728219 0.075988779 -1.1855325 0.93124983
243000 0.98800031 -0.59306129 -1.4524066 0.89611434
244000 1.2323375 -1.5048507 -1.3844018 0.88799718
245000 0.94267908 0.031988007 -1.0121142 1.2413197
246000 1.1365327 0.27438513 -1.6642194 1.1402139
247000 0.30022359 -0.80519008 -1.5372256 1.3515257
248000 1.0611731 0.24539805 -2.3738403 2.7091196
249000 0.81636732 0.44986307 -2.5496704 2.2527888
250000 1.1517963 -0.73648598 -1.0280088 0.095976809
251000 1.0040639 -0.071963037 -1.4620347 1.1998429
252000 0.88415063 -1.7907456 -2.4652973 0.97921513
253000 0.62255265 -1.978128 -1.6215116 0.14235189
254000 0.76108043 0.52807391 -1.3622921 1.1922416
255000 0.85078122 -2.0029901 -2.4182144 0.8399056
256000 0.7711234 -1.8707714 -2.3665011 1.0401548
257000 0.51147475 -1.8628491 -2.1003906 0.80356435
258000 -0.43089629 -0.80964417 -1.4509819 0.095722403
259000 0.94565081 -0.15028624 -1.8514422 0.83388139
260000 0.83877372 -0.078719841 -1.2890212 -0.31699924
261000 0.92412357 0.045754622 -2.5941587 2.6757209
262000 1.135228 0.24218301 -2.4353111 2.7981094
263000 1.2083449 -0.58317062 -2.6596453 2.7623918
264000 1.209839 -0.84681448 -2.5992302 -2.9473147
265000 1.0912415 -0.75979954 -2.436748 3.022686
266000 1.0690534 0.10783262 -2.65558 2.7768726
267000 1.1001328 -0.076556659 -2.6632941 2.1259045
268000 0.92195049 0.51949389 -1.6250908 2.1030677
269000 0.76541345 0.70999381 -1.8124745 2.6849331
270000 1.068463 -2.8823017 -2.2142166 2.3612588
271000 1.4453783 -0.96439129 -1.5941188 0.071415399
272000 0.91483231 -2.7416938 -2.5646146 2.898337
273000 0.80753713 0.12759783 -2.4629008 0.17507933
274000 0.92759827 -1.2702107 -1.2034121 0.99785992
275000 0.80074935 -1.2037174 -1.3504265 1.0016003
276000 0.82625454 -0.47115176 -1.4312373 0.60477646
277000 1.4374588 -0.83403197 -2.6688135 0.0056605829
278000 0.89985374 -2.2185426 -1.0366671 -0.69293899
279000 0.70325682 -1.9645889 -2.6046484 2.8087367
280000 1.5411956 -0.77818824 -1.0913581 1.0419296
281000 0.67091014 0.10496894 -1.1968111 0.70547572
282000 0.75835752 0.063591128 -1.1190911 0.92875614
283000 1.0404743 3.1206367 -2.5326944 3.009215
284000 0.99297417 -2.2551989 -2.4520996 1.5203994
285000 0.88414466 -2.7609139 -2.2395195 2.7071149
286000 0.82304586 -1.2597749 -2.6970946 2.2778903
287000 1.0240353 0.34738314 -2.0997796 2.0138941
288000 0.85972276 -2.7808713 -2.5333819 2.7204663
289000 0.86475751 -1.0932928 -1.9762489 1.790734
290000 0.87357935 0.30463668 -2.674513 2.6150214
291000 0.96219687 -0.59193871 -2.6360637 1.0140081
292000 1.3187441 -1.4535223 -1.653741 -0.38208096
293000 1.3497515 -2.039576 -1.6132297 0.09226245
294000 0.78139864 -1.8629637 -0.89534393 -0.71330517
295000 0.98282244 -1.0026298 -2.9479666 -0.49318654
296000 -0.070128066 -1.1802863 -2.3663568 0.64344752
297000 -2.0717708 1.815391 -1.4202539 0.54713133
298000 -3.009652 2.4602795 -1.5045025 1.845242
299000 -2.5835264 1.842679 -1.3272299 0.99799071
300000 -2.2082502 2.1994544 -1.285629 1.0147598
301000 -0.99501163 0.045540171 -1.2488075 -0.20758454
302000 -0.88415004 0.23372999 -1.73668 0.26045058
303000 -1.2730545 0.7813417 -2.3840545 1.7792157
304000 -2.2585553 3.034994 -1.1300921 -0.061514123
305000 -1.3126565 2.2250639 -2.5048737 2.8505064
306000 -2.9787963 2.5892595 -2.2993255 0.54689146
307000 -2.6520864 0.082920967 -1.0332681 1.3978228
308000 -0.80058711 1.4633174 -1.8636531 2.0791348
309000 -2.2862576 2.2478067 -2.1129494 0.50197665
310000 -1.1681049 -0.64363379 -2.518535 1.8409128
311000 -1.7088336 1.003308 -2.1677696 2.0967758
312000 -0.87959467 2.5744816 -1.8893033 2.5540059
313000 -1.5763652 2.9570137 -1.3635228 2.18149
314000 -2.8222702 2.8539188 -1.3161171 1.8414345
315000 -0.92351683 1.0270733 -2.6803277 2.5428741
316000 -1.6357266 1.6889962 -2.8696083 2.8775983
317000 -2.3247673 3.0100323 -1.4741547 -0.13746363
318000 -1.042059 1.0138735 -2.0878063 1.669689
319000 -2.7829175 3.1352979 -2.8388843 1.7220417
320000 -1.8893573 2.7126352 -1.4747937 -2.8047311
321000 -2.531055 1.4366785 -2.5169781 -2.6568229
322000 -1.9653424 0.34999768 -2.1555828 -0.19904157
323000 -2.8261045 0.40610626 -1.716047 0.53485769
324000 -1.71195 0.50947556 -2.6769612 0.017666334
325000 -1.6783456 -3.1246293 -2.5378669 -2.4964942
326000 -2.3452937 2.929966 -1.833537 0.015775136
327000 -1.7851652 1.9596392 -1.4148328 -0.14861694
328000 -2.8241243 2.0714836 -0.92738012 2.6273502
329000 -1.1129807 2.2640038 -0.67727752 -0.15471293
330000 -1.4929993 1.0967344 -1.3150155 -0.10457556
331000 -2.836563 -0.86093159 -1.423529 3.0012138
332000 -1.7336913 1.5013877 -0.82394138 2.9736385
333000 -3.082838 2.3837692 -2.8753295 2.7899056
334000 -2.5658151 2.7964074 -1.9142414 2.3049797
335000 -1.2004815 3.0364416 -2.3456298 3.0940758
336000 -2.1061041 1.3095531 -1.3847998 2.014669
337000 -2.5504406 -3.0365494 -2.2507998 1.9479015
338000 -1.098811 2.3549883 -2.5941781 2.0462264
339000 -1.5978869 0.92701231 -2.7628376 -1.1905002
340000 -2.4462208 2.1856143 -0.87961251 1.8825672
341000 -2.3544122 1.3414286 -1.7343858 2.6600143
342000 -1.19834 0.63627725 -1.785055 3.1191433
343000 -1.3212641 1.7639651 -1.5516044 -2.9114457
344000 -1.5621366 2.0868021 -2.0026875 -2.9988721
345000 -1.0873918 -0.20633587 -2.752454 1.7086173
346000 -1.2675115 1.7291388 -1.35847 2.8688688
347000 -2.2476904 2.0092017 -1.7822379 3.1387244
348000 -1.3205161 0.6808712 -0.76727034 2.4573146
349000 -1.3781366 -0.44699827 -2.2668207 1.6430344
350000 -2.9301506 -0.56037129 -2.6272978 2.6965976
351000 -0.91661327 -0.44862798 -1.5767142 1.615098
352000 0.72303396 -1.373313 -2.7680735 0.37391125
353000 0.97855083 -1.4843987 -2.5647837 -0.69315204
354000 1.3860389 -1.1586809 -2.887746 -0.57234331
355000 0.68748586 -1.5816696 -2.0093955 0.078956471
356000 1.4551402 -1.4990319 -1.4021555 -0.61036203
357000 -1.3714089 0.78743344 -1.6260769 -0.876115
358000 3.1122594 2.8573693 -1.1919552 0.17756103
359000 -0.89449495 1.233045 -1.4780921 0.83878874
360000 -2.2973913 1.6295736 -1.2175162 2.2161977
361000 -2.3747331 2.252388 -1.9273411 1.0082405
362000 -1.6803799 -0.22756175 -1.4570412 1.8685107
363000 -1.9544111 0.66201063 -1.504835 1.8621405
364000 -2.8627976 2.5515437 -1.0416219 2.0858489
365000 -0.97201049 -0.45314988 -1.0840576 -0.18272904
366000 -1.2302639 -0.45482417 -0.82995789 -0.56474159
367000 -1.2773832 -0.15453547 -0.83832308 -0.64432388
368000 -1.3005121 -0.28911847 -1.0106722 -0.40635266
369000 -2.7962842 3.1132818 -1.3315538 2.1840018
370000 -1.5009952 2.6297741 -1.7794787 0.99872291
371000 -2.0473738 2.803311 -2.4945443 2.0130629
372000 -1.5162224 2.6644915 -1.0810497 -0.60460076
373000 -2.4707205 2.819294 -1.4194755 -0.16219195
374000 -2.0289564 -0.20127895 -1.0496452 1.8017008
375000 -2.3154138 2.4562949 -2.3350019 1.5446202
376000 3.1094936 2.9963028 -2.1972274 2.5377948
377000 -2.7148159 -2.418303 -2.4632927 2.7013034
378000 -3.0288014 -2.792107 -1.8736752 2.687616
379000 -1.8542206 1.9190553 -2.3181616 -3.0778275
380000 -1.5852951 1.2273487 -0.93478855 -0.32580928
381000 -0.94356417 0.21358173 -0.97724568 0.75397123
382000 -1.3610114 1.2488785 -1.6381283 -0.028900887
383000 3.1184279 2.8149004 -2.4705584 1.977016
384000 -0.76130968 0.39206542 -1.143004 0.057147513
385000 -2.263037 2.4095759 -2.4542502 0.18044907
386000 -1.5167815 0.36326781 -1.9573666 2.8844331
387000 -1.1418125 1.7781206 -1.7803022 0.96967104
388000 -1.7986449 1.2052753 -1.7234193 0.11562461
389000 -2.2723386 -0.50039635 -2.3480146 2.8459318
390000 -1.4842473 0.55331228 -2.730379 1.9209218
391000 -3.0011788 -0.80185214 -1.3207636 2.1780948
392000 -2.3638455 -0.40265846 -2.0388612 2.9562383
393000 -2.5569025 1.5890782 -2.1701004 -2.7757264
394000 -1.4645165 0.86086623 -2.9344423 1.4850263
395000 -0.89486496 -0.09187313 -2.4397602 0.79863918
396000 -1.196041 1.2997726 -2.4052958 0.42952518
397000 3.1360087 3.0858989 -1.620509 0.18527305
398000 -2.1239146 0.9689076 -0.94247141 -0.56452203
399000 -2.3069856 0.51745986 -1.3165353 -0.41822439
400000 -2.0981694 0.25468081 -1.1160987 -0.59472535
401000 -2.4056704 0.42514026 -1.6829187 1.2216303
402000 -0.50837867 -0.47468767 -2.3366199 0.32720139
403000 -2.294374 0.35527866 -1.371003 1.5724905
404000 -1.1533118 -0.074928953 -2.3646441 -0.10731384
405000 1.1831737 -2.0441223 -1.8146179 0.87270315
406000 1.0524773 0.16617573 -1.2275884 3.0127871
407000 1.1342391 -0.68358936 -1.0370995 2.3411585
408000 0.77409681 0.68016763 -1.8435249 1.8697301
409000 1.3761298 -0.78189469 -1.7351732 2.3317306
410000 1.1882713 -0.20277325 -2.4316773 -0.96071762
411000 1.1260073 -0.10772847 -2.4533273 -0.92948471
412000 1.167277 -2.3602279 -1.5256211 -0.11305064
413000 0.70881493 -0.59784945 -2.4188875 1.6693946
414000 0.97585391 0.5816602 -1.0256664 2.2984086
415000 -1.0050854 1.6847546 -1.5855453 0.77206081
416000 -2.0680067 2.0538191 -2.1773115 0.10458381
417000 -2.7037079 1.8697186 -2.2423853 0.1896463
418000 -2.0550749 2.8158941 -1.5146466 -2.799949
419000 -2.9465415 2.4634646 -1.5234252 1.9147444
420000 -3.1093601 2.8447335 -2.6000944 1.9203218
421000 -2.8241932 2.1374957 -2.1245228 2.9186967
422000 -1.5084876 0.81559311 -1.437286 2.2579772
423000 -1.1162223 0.66673912 -2.8381758 2.5211416
424000 -0.64908473 -0.79398026 -1.7960339 2.0804277
425000 -1.1398478 -0.92734933 -1.5493724 0.38740743
426000 0.817352 -1.3769625 -2.4661104 1.4548425
427000 0.91967191 -1.6973644 -2.6793961 2.4992729
428000 0.69059039 -2.5512267 -0.82108315 -0.089542177
429000 1.3922738 -0.9965402 -2.670366 -0.21077108
430000 -1.5336774 -0.46167094 -1.5909331 0.26955343
431000 -2.5446185 1.7877582 -2.4286392 1.7120839
432000 -1.6762746 0.90915263 -2.5884016 1.2838452
433000 -1.6953995 1.0327756 -2.5711304 -0.95630141
434000 -0.97089904 0.63535539 -2.8908512 -0.75488939
435000 -1.3944356 1.0971183 -2.3552415 1.7217767
436000 -1.4078785 1.171912 -2.2349795 -2.182962
437000 -1.2544218 0.96380126 -3.0457766 2.0336975
438000 -0.77175476 -0.22961492 -1.0447309 -1.1127046
439000 -2.2108776 -0.7884298 -1.114084 2.2555365
440000 -0.96672755 0.75068936 -1.714713 2.6184463
441000 -1.2923641 -0.91529377 -2.0313067 1.865082
442000 -1.9991992 2.6741356 -2.5285421 3.0025847
443000 -2.5488122 1.7055239 -2.9053446 2.7015355
444000 -2.4909761 1.6456843 -2.9295696 2.7453322
445000 -2.498081 -1.3712565 -2.5339265 2.8291478
446000 -1.0274743 -0.8776413 -2.8097629 2.9427223
447000 -0.7666512 -0.931667 -3.0754293 2.5589108
448000 -1.5263474 0.16974487 -2.3006535 1.8619396
449000 -1.6102541 0.50135084 -2.9532685 0.87160042
450000 -1.8619923 0.83593067 -0.72904117 0.51053183
451000 -2.7089409 2.3211357 -0.85323244 1.0370078
452000 -2.1293764 1.7952078 -1.9466048 -0.57144238
453000 -1.8630236 2.4476958 -1.3358429 -0.28708094
454000 -2.8223293 3.0437742 -1.9843862 -0.12141487
455000 -1.8680614 0.65831475 -1.0323979 0.19751045
456000 -2.210239 1.8539251 -1.8962862 1.7754045
457000 -1.4907681 1.171586 -1.3915097 -2.6142751
458000 -1.5330921 2.4854973 -2.2228605 0.34133113
459000 -2.0269197 1.2517832 -1.5633591 -0.033329173
460000 -1.7281657 1.553569 -2.641257 0.6030707
461000 -1.0220894 1.0822317 -1.9392704 -0.51896942
462000 -1.7163228 0.37993721 -2.8941109 1.8597816
463000 -2.6896205 1.7421983 -1.4883848 0.21686841
464000 -1.3159056 1.955363 -1.7738841 -2.6734999
465000 -1.9025085 0.10276561 -1.720752 1.1377978
466000 -1.2219598 -0.34024408 -1.3502346 1.5895573
467000 -2.5808085 -2.9333494 -2.8850133 -0.90702505
468000 -1.3986561 2.9058927 -2.711772 2.3048474
469000 -2.5329149 1.6022129 -1.048856 0.0050444418
470000 -2.2001557 1.2412501 -1.1213853 1.0045178
471000 -2.1522148 1.3378066 -0.83439381 1.9272004
472000 -1.4573553 2.551019 -1.9549438 -0.58751216
473000 -2.3924345 2.2526516 -2.6110606 0.67318564
474000 -2.455537 -2.7419937 -0.98160866 1.8835316
475000 -2.6737965 2.4573606 -2.400519 -2.4411132
476000 -2.6339077 -2.630861 -1.4335616 1.5380932
477000 -1.3232887 1.0179881 -2.3364484 -0.24575511
478000 -2.16161 0.23494816 -1.6134355 1.1016744
479000 -0.86629868 -1.0247756 -1.3929177 2.2887722
480000 -2.8880792 -0.51637544 -1.4134126 2.4880527
481000 -2.9059787 -0.10164734 -2.4750244 3.140586
