#Iteration cv_0 cv_1
0 -2.5524213 2.6709964
100 -2.343133 2.559551
200 -2.7118237 2.8022696
300 -2.5202456 2.7320697
400 -2.7183642 2.7199887
500 -2.3909231 2.6301232
600 -2.4069505 2.7890952
700 -2.6032473 2.6695319
800 -2.7477603 2.1722557
900 -2.7103832 2.717721
1000 -2.7252133 2.5652916
1100 -2.2641206 2.675133
1200 -2.6468215 2.6100591
1300 -2.4221253 2.489649
1400 -2.4234205 2.8528542
1500 -2.1574962 2.3897057
1600 -2.0887521 2.7230128
1700 -2.2299487 2.711312
1800 -2.6342313 2.2060781
1900 -2.2811394 2.3227105
2000 -2.3239443 2.1898706
2100 -2.4941198 2.7606157
2200 -2.4450903 2.6304306
2300 -2.4543666 2.6406923
2400 -2.5274638 2.5854798
2500 -1.7888812 2.3782212
2600 -2.1296211 2.5410282
2700 -2.71922 2.7356123
2800 -2.0368867 2.4470025
2900 -2.6811665 2.7468836
3000 -2.6645255 2.6760611
3100 -2.2294252 3.0686571
3200 -2.5565011 2.4965531
3300 -2.4452032 2.5101805
3400 -2.5341949 2.3420561
3500 -2.5529913 2.6492627
3600 -2.5905161 2.6275872
3700 -2.3574676 2.7221445
3800 -2.4625417 2.5668132
3900 -1.9644198 2.6286204
4000 -1.8098884 2.2206615
4100 -2.2644863 2.3423374
4200 -2.8836831 2.849414
4300 -2.4094086 2.6596134
4400 -2.3680416 2.3121649
4500 -2.0272958 2.4629728
4600 -2.9838439 2.728371
4700 -2.3091974 2.3659808
4800 -1.3235178 2.4853374
4900 -1.9028885 2.3407828
5000 -2.246637 2.237265
5100 -2.073343 2.093107
5200 -1.9850109 2.1432003
5300 -1.9460121 2.1401812
5400 -1.5438216 1.7163579
5500 -1.4099427 2.0508882
5600 -0.88093168 2.1238746
5700 -0.98608668 2.3760115
5800 -1.0885473 2.601722
5900 -1.1007699 2.6384408
6000 -1.4411888 2.6416015
6100 -1.2522551 2.7936988
6200 -0.97048853 2.7929352
6300 -1.0095571 2.1213767
6400 -1.2031689 2.1431978
6500 -1.4583883 2.0240801
6600 -1.3546919 2.0197827
6700 -1.4099447 1.962566
6800 -1.2463221 2.1411371
6900 -1.4613669 2.0344444
7000 -1.2162056 2.1636931
7100 -1.4214399 1.857097
7200 -1.5607714 2.1114762
7300 -1.2359467 2.064629
7400 -1.2424595 2.3239103
7500 -1.3580844 1.9459008
7600 -1.3536016 1.9831385
7700 -1.1096556 2.0937254
7800 -1.039491 2.2046788
7900 -1.0234632 2.5842988
8000 -1.1697402 2.6461526
8100 -0.98406218 2.2908465
8200 -1.2245879 2.9662056
8300 -1.1787831 2.835525
8400 -1.2873511 2.6336438
8500 -1.3629655 2.7390182
8600 -1.4974741 2.7749716
8700 -1.2875112 2.7876841
8800 -1.5329545 2.4071465
8900 -1.3035011 2.5471481
9000 -1.3319174 2.782859
9100 -1.4939886 2.9093781
9200 -1.3017186 2.5470345
9300 -1.633316 2.7329261
9400 -1.3306057 2.5980983
9500 -1.3880644 2.5210725
9600 -1.8722937 3.0096167
9700 -1.1384689 3.0573663
9800 -1.4986229 2.6320393
9900 -1.247442 2.573284
10000 -1.4878726 2.6536779
10100 -0.93985943 2.4246935
10200 -1.5221703 2.4858185
10300 -1.2754928 3.0459604
10400 -0.84660505 2.8372986
10500 -1.3364316 3.0365906
10600 -1.2872573 3.1092301
10700 -1.5236889 3.0118492
10800 -1.099871 -3.1135535
10900 -1.2017942 3.0894316
11000 -1.150112 -3.122971
11100 -1.5559131 -3.1344112
11200 -1.5315451 3.0381453
11300 -2.2107997 3.0300776
11400 -2.6403354 3.1148215
11500 -1.7977262 2.6346461
11600 -2.3039782 2.6382018
11700 -2.6766873 2.7270341
11800 3.0912993 2.4915612
11900 -3.064256 2.5538984
12000 -2.8489915 2.2158038
12100 -2.8585365 2.1422538
12200 -2.4788131 2.7614535
12300 -2.7004374 2.9265886
12400 -2.1518262 3.0333932
12500 -2.6204081 -3.0777046
12600 -2.3285927 2.7950706
12700 -3.0237845 2.857157
12800 -2.1743127 2.8965025
12900 -2.2110836 2.7256977
13000 -2.5693268 3.054687
13100 -2.2596964 2.9906689
13200 -2.6653694 3.1100311
13300 -2.5018562 -2.942601
13400 -2.4006377 3.0647701
13500 -2.9872285 2.884934
13600 -2.9402561 2.2990046
13700 -2.7538942 2.0539857
13800 -2.6716672 2.0088151
13900 -2.9479466 2.2265479
14000 -2.8910161 2.0502659
14100 -2.7934563 2.1638846
14200 -3.0764915 2.6755999
14300 -3.0633186 2.6528917
14400 -2.9529292 2.1811195
14500 -2.4873016 1.365351
14600 -2.6446874 1.412555
14700 -2.483388 1.6172416
14800 -2.352799 1.3302263
14900 -2.2092392 1.7358029
15000 -2.5695742 1.7805146
15100 -2.8125156 1.7685652
15200 -2.7996171 1.8612546
15300 -3.0283738 1.6482833
15400 -2.7387977 1.6990046
15500 -2.9418108 1.636462
15600 -2.9049519 1.4514836
15700 -2.3152239 0.7705517
15800 -2.4786656 0.91232754
15900 -2.4362252 0.83331157
16000 -2.5053757 0.84584425
16100 -2.1918762 0.64701969
16200 -2.0526103 0.19924483
16300 -2.5793554 0.85692096
16400 -2.7748816 1.0056748
16500 -2.1105423 0.57940034
16600 -2.1714097 0.1784948
16700 -2.7948864 0.48579923
16800 -2.4511956 0.3937987
16900 -2.1250815 0.46700282
17000 -2.5192014 0.41008222
17100 -2.4050226 0.75066237
17200 -2.0562586 0.93423885
17300 -1.9398139 1.0572544
17400 -2.4446468 0.5527135
17500 -2.2271924 0.69268826
17600 -2.2713524 0.84249539
17700 -2.2232935 1.0545433
17800 -2.0049784 0.94174715
17900 -2.3476192 1.1056
18000 -2.1732157 0.65907128
18100 -2.1781578 0.83664858
18200 -2.3283266 0.98090618
18300 -2.0723198 0.96554344
18400 -2.3771092 0.76446983
18500 -2.0177022 0.85450665
18600 -2.2291502 0.90408207
18700 -2.1775635 1.0185138
18800 -2.3740992 0.79988474
